name,party,article_size,Ocak 2013,Şubat 2013,Mart 2013,Nisan 2013,Mayıs 2013,Haziran 2013,Temmuz 2013,Ağustos 2013,Eylül 2013,Ekim 2013,Kasım 2013,Aralık 2013,Ocak 2014,Şubat 2014,Mart 2014,Nisan 2014,Mayıs 2014,Haziran 2014,Temmuz 2014,Ağustos 2014,Eylül 2014,Ekim 2014,Kasım 2014,Aralık 2014,Ocak 2015,Şubat 2015,Mart 2015,Nisan 2015,Mayıs 2015,Haziran 2015,Temmuz 2015,Ağustos 2015,Eylül 2015,Ekim 2015,Kasım 2015,Aralık 2015,Ocak 2016,Şubat 2016,Mart 2016,Nisan 2016,Mayıs 2016,Haziran 2016,Temmuz 2016,Ağustos 2016,Eylül 2016,Ekim 2016,Kasım 2016,Aralık 2016,Ocak 2017,Şubat 2017,Mart 2017,Nisan 2017,Mayıs 2017,Haziran 2017,Temmuz 2017,Ağustos 2017,Eylül 2017,Ekim 2017,Kasım 2017,Aralık 2017,Ocak 2018,Şubat 2018,Mart 2018,Nisan 2018,Mayıs 2018,Haziran 2018,Temmuz 2018,Ağustos 2018,Eylül 2018,Ekim 2018,Kasım 2018,Aralık 2018,Ocak 2019,Şubat 2019,Mart 2019,Nisan 2019,Mayıs 2019,Haziran 2019,Temmuz 2019,Ağustos 2019,Eylül 2019,Ekim 2019,Kasım 2019,Aralık 2019,Ocak 2020,Şubat 2020,Mart 2020,Nisan 2020,Mayıs 2020,Haziran 2020,Temmuz 2020,Ağustos 2020,Eylül 2020,Ekim 2020,Kasım 2020,Aralık 2020,Ocak 2021,Şubat 2021,Mart 2021,Nisan 2021,Mayıs 2021,Haziran 2021,Temmuz 2021,Ağustos 2021,Eylül 2021,Ekim 2021,Kasım 2021,Aralık 2021,Ocak 2022,Şubat 2022,Mart 2022,Nisan 2022,Mayıs 2022,Haziran 2022,Temmuz 2022,Ağustos 2022,Eylül 2022,Ekim 2022,Kasım 2022,Aralık 2022,Ocak 2023,Şubat 2023,Mart 2023,Nisan 2023,Mayıs 2023,Haziran 2023,Temmuz 2023,Ağustos 2023,Eylül 2023,Ekim 2023,Kasım 2023,Aralık 2023,Ocak 2024,Şubat 2024,Mart 2024,Nisan 2024,Mayıs 2024,Haziran 2024,Temmuz 2024,Ağustos 2024,Eylül 2024,Ekim 2024,Kasım 2024,Aralık 2024
Ahmet_Şık,türkiye_i̇şçi_partisi,24797.0,-2,0,0,-58,0,0,0,-27,0,0,1,0,0,0,0,0,-2,0,0,18,0,0,0,36,0,0,0,0,0,0,0,0,0,0,210,0,0,0,-11,0,13,0,0,0,0,0,300,186,2876,0,24,0,0,0,145,0,0,0,62,363,41,0,4789,0,364,687,368,0,-27,0,0,10,61,58,13,0,0,0,0,0,0,0,0,1,0,0,218,91,763,13,57,203,7,158,-6,44,0,0,0,809,0,-16,0,0,0,0,0,12,197,54,67,0,1606,383,0,0,441,0,0,0,0,0,189,-56,81,324,0,0,7,0,460,8,47,0,0,0,857,0,0,0,0,0,0,0
Mansur_Yavaş,cumhuriyet_halk_partisi,23842.0,0,4,0,0,-378,0,-593,0,18,0,0,907,0,3875,-3184,295,0,106,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,-38,0,-20,198,0,1088,-14,0,0,0,0,0,0,397,-33,0,159,0,0,0,0,0,0,0,55,47,65,0,18,0,8,0,0,0,0,0,0,39,-50,0,190,1117,-14,0,0,0,0,26,0,0,76,-5,232,395,1912,7,-65,107,-35,5734,12,692,92,-180,69,-5,52,26,0,2,4871,162,23,7,0,0,286,142,36,3862,73,0,622,505,135,-165,164,-8317,-2003,21084,-21047,1555,1835,4,1110,-55,0,-4,71,88,0,2409,-737,0,0,0,0,0,0,0
Yaşar_Güler,bağımsız,22470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3352,0,0,0,0,0,0,9,-35,0,0,0,0,0,0,0,35,267,487,0,0,-336,871,356,-2,0,0,0,0,0,0,0,0,0,0,299,214,0,0,0,60,3,-20,0,0,0,1819,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,67,0,0,54,2318,445,-23,0,0,-148,-65,60,18,-39,8,0,0,-526,1400,3395,-261,69,1444,21,1651,495,0,17,94,20,424,1179,0,0,14,-8,0,0,0,2142,8,10,-3,7,20,0,0,716,48,7,0,0,0,0,0,0,0,0
Garo_Paylan,halkların_demokratik_partisi,21581.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3274,-36,0,4,120,0,0,-26,0,34,17,0,241,14,0,11,0,0,3535,-1,0,13,0,0,26,0,21,0,0,0,0,-10,0,0,0,112,0,0,0,0,0,14,2,0,13,0,11,0,0,0,0,0,0,1,0,0,18,82,0,15,0,0,144,1109,0,8,0,0,0,217,25,0,0,0,0,0,0,0,-1,0,0,81,208,0,0,0,0,0,-3,0,26,0,32,47,21,0,12226,1,0,0,0,0,-181,8,0,0,108,0,0,0,0,0,0,0
Leyla_Güven,halkların_demokratik_partisi,20337.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615,0,0,0,0,0,499,0,-15,1,0,0,0,0,0,16,-1,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,16320,0,0,372,113,0,0,0,0,0,0,0
Ünal_Karaman,i̇yi̇_parti,19836.0,236,0,-85,0,2,185,353,0,0,33,0,267,-126,0,0,0,0,0,518,0,0,0,0,72,0,0,0,0,0,407,0,-799,-239,5,117,78,-196,-82,0,0,0,0,299,0,-20,0,-73,0,-4,2,0,0,0,0,0,25,8,182,0,0,0,0,0,305,0,0,75,0,107,625,0,0,3,0,8,0,0,0,0,98,0,0,35,-141,227,8,358,0,4,0,305,41,0,946,0,-2,566,-41,0,181,0,0,0,51,-60,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,618,399,541,190,0,0,0,91,0,856,21,0,-1,-120,127,0,0,0,0,0,0,0
Alpay_Özalan,adalet_ve_kalkınma_partisi,19192.0,26,0,0,-607,0,0,0,0,106,0,0,0,0,0,187,0,-6,0,932,0,0,14,0,0,0,0,0,0,0,23,34,-75,8,0,-22,209,-5,-21,0,0,0,390,434,31,0,259,9,0,-47,5272,89,-11,0,0,45,43,12,81,0,0,2,0,0,0,30,0,500,0,0,0,7,0,4,0,0,-6,48,0,0,15,-16,86,0,0,0,0,33,0,0,6,44,0,0,0,8,0,0,0,1607,0,0,29,0,0,0,-2,3,91,0,1,0,0,992,39,0,-44,0,0,0,0,0,14,4,-45,52,209,0,73,-71,55,0,0,5,0,0,-7,-59,0,0,0,0,0,0,0
İsmet_Yılmaz,adalet_ve_kalkınma_partisi,18521.0,0,0,0,-23,0,0,0,0,64,0,34,2,0,0,2,0,0,0,0,-12,0,-5,31,0,0,0,0,134,0,767,1497,8,-241,183,684,8,0,347,83,-22,743,0,3028,65,210,0,0,204,112,-1,11,0,0,0,0,52,188,0,-86,0,0,0,0,0,0,-28,214,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,63,0,0,278,141,435,107,-54,-313,57,947,16,-19,0,0,298,-275,-30,0,0,-17,13,-45,531,0,-1,0,0,0,1,2783,0,0,0,0,0,0,86,0,794,0,76,0,35,0,0,728,0,0,5,14,-173,0,186,0,0,0,0,0,0,0
Hakan_Fidan,bağımsız,18100.0,0,0,0,0,0,0,0,0,-1,549,35,0,0,-35,1732,-898,0,0,8,-34,-421,486,0,-82,0,725,1187,0,0,19,-1,19,0,0,0,-167,37,45,0,0,-24,-82,0,0,0,11,-80,0,0,258,-116,0,0,2,0,0,39,0,0,0,0,13,0,0,0,0,-74,0,0,0,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,30,63,0,176,26,0,2,115,0,-2,0,-1,21,-19,521,28,373,1192,0,117,-144,15,137,-485,415,-34,1723,0,0,506,0,0,-38,0,-54,78,0,63,-51,2974,12,3345,-2,666,35,-365,229,373,-193,0,-641,0,0,0,0,0,0,0
Koray_Aydın,i̇yi̇_parti,17665.0,0,0,0,0,1,0,-6,981,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,321,0,0,0,7,311,225,177,26,7,70,0,35,0,0,2600,0,2287,-58,894,-28,0,-30,0,-32,-1,-14,2,0,0,0,0,-6,152,0,47,0,1,0,0,0,282,263,36,0,58,0,0,0,0,13,0,0,0,0,-54,196,0,0,0,-7,0,227,503,-4,3,0,0,2,259,0,2,0,0,23,0,0,7,0,-7,0,0,0,0,-1,0,1888,0,239,-134,0,86,0,0,0,0,0,399,0,0,1383,203,113,0,-350,413,0,0,29,0,77,697,64,0,0,0,0,0,0,0
